[05/01/2023 16:21]  System: WorldMap loading...
[05/01/2023 16:22]  System: Loading WorldMap markers..
[05/01/2023 16:22]  System: ..Banks_and_Healers.xml (20)
[05/01/2023 16:22]  System: ..Dungeons.xml (12)
[05/01/2023 16:22]  System: ..Dungeon_Gates.xml (325)
[05/01/2023 16:22]  System: ..Healer_Caravans.xml (32)
[05/01/2023 16:22]  System: ..Moongates.xml (9)
[05/01/2023 16:22]  System: ..POI.xml (176)
[05/01/2023 16:22]  System: ..PvP_Locations.xml (71)
[05/01/2023 16:22]  System: ..Shrines.xml (9)
[05/01/2023 16:22]  System: ..Subterranean.xml (6)
[05/01/2023 16:22]  System: ..Townships.xml (9)
[05/01/2023 16:22]  System: WorldMap markers loaded (669)
[05/01/2023 16:22]  System: Welcome Stink Fist!
[05/01/2023 16:22]  Stink Fist: Stink Fist
[05/01/2023 16:22]  Rane: Rane the dockmaster
[05/01/2023 16:22]  a great hart: a great hart
[05/01/2023 16:22]  a wolf: a wolf
[05/01/2023 16:22]  System: WorldMap loaded!
[05/01/2023 16:22]  You see: a snowy hedge
[05/01/2023 16:22]  You see: [locked down]
[05/01/2023 16:22]  You see: (uncommon plant)
[05/01/2023 16:22]  System: Xaino has completed the achievement: Shipwright (Basic).
[05/01/2023 16:22]  You see: salvaged crate
[05/01/2023 16:22]  You see: [locked down]
[05/01/2023 16:22]  You see: (77 items, 180 stones)
[05/01/2023 16:22]  You see: a lily of the valley
[05/01/2023 16:22]  You see: [locked down]
[05/01/2023 16:22]  You see: (very common plant)
[05/01/2023 16:22]  System: New target set.
[05/01/2023 16:22]  Razor: Target: a wolf
[05/01/2023 16:22]  You see: forge
[05/01/2023 16:22]  You see: a lily of the valley
[05/01/2023 16:22]  You see: [locked down]
[05/01/2023 16:22]  You see: (very common plant)
[05/01/2023 16:23]  : wooden boards
[05/01/2023 16:23]  You see: skeletal predator figurine
[05/01/2023 16:23]  You see: [locked down]
[05/01/2023 16:23]  You see: (dungeon antiquity)
[05/01/2023 16:23]  System: This antiquity has not yet been registered.
[05/01/2023 16:23]  [Alliance][Morrigann]: [SQzD] INVITES COMING
[05/01/2023 16:24]  System: No one matching that was found on your screen.
[05/01/2023 16:24]  System: No one matching that was found on your screen.
[05/01/2023 16:24]  System: Val Killmore has completed the achievement: Humanoid Slayer (Basic).
[05/01/2023 16:24]  Razor: [Harmful Target]
[05/01/2023 16:24]  Razor: [Beneficial Target]
[05/01/2023 16:24]  Razor: [Last Target]
[05/01/2023 16:24]  a wolf: a wolf
[05/01/2023 16:24]  [Guild][Ceciil]: invite pls
[05/01/2023 16:25]  Stink Fist: The food is paltry and is barely satisfying.
[05/01/2023 16:25]  Razor: [+Food Satisfaction (3600s)]
[05/01/2023 16:25]  [Alliance][Morrigann]: [SQzD] GET RDY FOR REDS
[05/01/2023 16:26]  System: Sir Pickles has completed the achievement: Connoisseur (Advanced).
[05/01/2023 16:27]  [Guild][Vesar the mage]: cecil you should use a magic book to get max refund
[05/01/2023 16:27]  [Guild][Ceciil]: Can I get a party invite
[05/01/2023 16:27]  [Guild][Ceciil]: ok ves
[05/01/2023 16:27]  System: You increase your damage resistance to creature-casted spells.
[05/01/2023 16:27]  Razor: [+Magic Resist Potion (120s)]
[05/01/2023 16:28]  [Guild][Vesar the mage]: at least emn book
[05/01/2023 16:28]  [Guild][Vesar the mage]: refund cap is 50 in most cases
[05/01/2023 16:28]  System: Your guild has summoned the boss of Shadowspire Cathedral.
[05/01/2023 16:28]  System: You pour some of the keg's contents into an empty bottle...
[05/01/2023 16:28]  System: ...and place it into your backpack.
[05/01/2023 16:29]  System: Your strength has changed by 20.  It is now 120
[05/01/2023 16:29]  Razor: [+Strength (120s)]
[05/01/2023 16:29]  Razor: Str: +20 - 120
[05/01/2023 16:29]  Razor: [-Strength (s)]
[05/01/2023 16:29]  Razor: [+Strength (120s)]
[05/01/2023 16:29]  System: jobz has completed the achievement: Artificers Enclave Initiate.
[05/01/2023 16:29]  System: Your magic resist potion has worn off.
[05/01/2023 16:29]  Razor: [-Magic Resist Potion (s)]
[05/01/2023 16:29]  [Guild][Morrigann]: Cecill you gotta pay attention man
[05/01/2023 16:29]  [Guild][Morrigann]: second time in a row
[05/01/2023 16:29]  [Guild][Ceciil]: ?
[05/01/2023 16:30]  [Guild][Morrigann]: you wasnt supposed to attack the boss
[05/01/2023 16:30]  [Guild][Ceciil]: oh shit
[05/01/2023 16:30]  [Guild][Morrigann]: and your supposed to be in voice
[05/01/2023 16:30]  [Guild][Ceciil]: I;m in 
[05/01/2023 16:30]  [Guild][AndrewQC]: keep atk now
[05/01/2023 16:30]  System: The world will save in 15 seconds.
[05/01/2023 16:31]  System: The world is saving, please wait.
[05/01/2023 16:31]  System: World save complete. The entire process took 4.0 seconds.
[05/01/2023 16:31]  System: You may now use a strength potion.
[05/01/2023 16:31]  System: Your strength has changed by -20.  It is now 100
[05/01/2023 16:31]  Razor: [-Strength (s)]
[05/01/2023 16:31]  Razor: Str: -20 - 100
[05/01/2023 16:31]  System: The Stitch has completed the achievement: Distinguished Soldier.
[05/01/2023 16:31]  System: rose emoji has completed the achievement: Hardened Veteran.
[05/01/2023 16:32]  System: PugniNelleMani has completed the achievement: Aspect Mastery (Basic).
[05/01/2023 16:32]  Endoril Sturmr: [Recruit, NWO]
[05/01/2023 16:32]  Endoril Sturmr: Endoril Sturmr
[05/01/2023 16:32]  a cave bear: (bonded)
[05/01/2023 16:32]  a cave bear: a cave bear
[05/01/2023 16:32]  a drake: (bonded)
[05/01/2023 16:32]  a drake: a drake
[05/01/2023 16:32]  a drake: (bonded)
[05/01/2023 16:32]  a drake: a drake
[05/01/2023 16:32]  System: Pretorian has completed the achievement: Scribe (Basic).
[05/01/2023 16:33]  System: Buff McGee has completed the achievement: Humanoid Slayer (Basic).
[05/01/2023 16:34]  System: Kilrogg has completed the achievement: Domestication (Epic).
[05/01/2023 16:34]  System: Nike Sportswear has completed the achievement: Enchanter (Epic).
[05/01/2023 16:34]  [Guild][Shakula]: scaled now
[05/01/2023 16:35]  [Guild][Zepar]: too late to join u guys
[05/01/2023 16:35]  You see: bottle
[05/01/2023 16:35]  : stained glass window
[05/01/2023 16:35]  System: 1 items were added.
[05/01/2023 16:35]  You see: wooden chest
[05/01/2023 16:35]  You see: [secure]
[05/01/2023 16:35]  You see: (88 items, 473 stones)
[05/01/2023 16:35]  Stink Fist: The food is paltry and is barely satisfying.
[05/01/2023 16:35]  Razor: [-Food Satisfaction (s)]
[05/01/2023 16:35]  Razor: [+Food Satisfaction (3600s)]
[05/01/2023 16:36]  System: No one matching that was found on your screen.
[05/01/2023 16:36]  System: AndrewQC has completed the achievement: Boss Slayer (Epic).
[05/01/2023 16:36]  System: Your guild's prestige has increased by 10
[05/01/2023 16:36]  System: Playing Macro 'Drink Resist'...
[05/01/2023 16:36]  System: Macro 'Drink Resist' finished.
[05/01/2023 16:36]  System: You increase your damage resistance to creature-casted spells.
[05/01/2023 16:36]  Razor: [+Magic Resist Potion (120s)]
[05/01/2023 16:37]  [Alliance][Vesar the mage]: [SQzD] think i'm gona have a good parse
[05/01/2023 16:37]  System: Virion Cryptmire has completed the achievement: Enhanced (Basic).
[05/01/2023 16:37]  [Guild][Gulyver]: number nine in nusero 3
[05/01/2023 16:37]  System: Your strength has changed by 20.  It is now 120
[05/01/2023 16:37]  Razor: [+Strength (120s)]
[05/01/2023 16:37]  Razor: Str: +20 - 120
[05/01/2023 16:37]  Razor: [-Strength (s)]
[05/01/2023 16:37]  Razor: [+Strength (120s)]
[05/01/2023 16:37]  System: gRoobYDJ has completed the achievement: Guardian of Nusero (Basic).
[05/01/2023 16:38]  [Guild][Vesar the mage]: casted flame strikes straight for 80% of fight
[05/01/2023 16:38]  System: 1 items were added.
[05/01/2023 16:38]  System: Your magic resist potion has worn off.
[05/01/2023 16:38]  Razor: [-Magic Resist Potion (s)]
[05/01/2023 16:38]  System: Roy Harness has completed the achievement: Culinary Savvy (Basic).
[05/01/2023 16:39]  System: You may now use a strength potion.
[05/01/2023 16:39]  System: Your strength has changed by -20.  It is now 100
[05/01/2023 16:39]  Razor: [-Strength (s)]
[05/01/2023 16:39]  Razor: Str: -20 - 100
[05/01/2023 16:39]  [Guild][Zepar]: lmao
[05/01/2023 16:39]  System: Your strength has changed by 20.  It is now 120
[05/01/2023 16:39]  Razor: [+Strength (120s)]
[05/01/2023 16:39]  Razor: Str: +20 - 120
[05/01/2023 16:39]  Razor: [-Strength (s)]
[05/01/2023 16:39]  Razor: [+Strength (120s)]
[05/01/2023 16:39]  System: Playing Macro 'Drink Resist'...
[05/01/2023 16:39]  System: Macro 'Drink Resist' finished.
[05/01/2023 16:39]  System: You increase your damage resistance to creature-casted spells.
