[01/06/2022 13:38]  System: WorldMap loading...
[01/06/2022 13:39]  System: Loading WorldMap markers..
[01/06/2022 13:39]  System: ..Banks_and_Healers.xml (20)
[01/06/2022 13:39]  System: ..Dungeons.xml (12)
[01/06/2022 13:39]  System: ..Dungeon_Gates.xml (335)
[01/06/2022 13:39]  System: ..Healer_Caravans.xml (32)
[01/06/2022 13:39]  System: ..Moongates.xml (9)
[01/06/2022 13:39]  System: ..POI.xml (176)
[01/06/2022 13:39]  System: ..Shrines.xml (9)
[01/06/2022 13:39]  System: ..Subterranean.xml (6)
[01/06/2022 13:39]  System: ..Townships.xml (9)
[01/06/2022 13:39]  System: WorldMap markers loaded (608)
[01/06/2022 13:39]  System: Welcome Rabbi Tuckman!
[01/06/2022 13:39]  System: Your food satisfaction effect has expired.
[01/06/2022 13:39]  Rabbi Tuckman: Rabbi Tuckman (Young)
[01/06/2022 13:39]  Tadi: Tadi the thief
[01/06/2022 13:39]  a pack horse: (tame)
[01/06/2022 13:39]  a pack horse: [0/2000 stones]
[01/06/2022 13:39]  a pack horse: a pack horse
[01/06/2022 13:39]  Dees Nuts: Dees Nuts
[01/06/2022 13:39]  Jayne: Jayne the innkeeper
[01/06/2022 13:39]  Carlton: Carlton the stablemaster
[01/06/2022 13:39]  Dusty: Dusty the cook
[01/06/2022 13:39]  of The Lake: of The Lake
[01/06/2022 13:39]  a horse: (tame)
[01/06/2022 13:39]  a horse: a horse
[01/06/2022 13:39]  Jake: Jake the barkeep
[01/06/2022 13:39]  Cobwebbed Widow: Cobwebbed Widow
[01/06/2022 13:39]  Colon: Colon the Town Crier
[01/06/2022 13:39]  Alicia: Alicia the tavern keeper
[01/06/2022 13:39]  Malcom Redbeard: Malcom Redbeard (Young)
[01/06/2022 13:39]  Animus Vox: Animus Vox (Young)
[01/06/2022 13:39]  Axident Prone: Axident Prone (Young)
[01/06/2022 13:39]  a sheep: (tame)
[01/06/2022 13:39]  a sheep: a sheep
[01/06/2022 13:39]  a sheep: (tame)
[01/06/2022 13:39]  a sheep: a sheep
[01/06/2022 13:39]  a sheep: (tame)
[01/06/2022 13:39]  a sheep: a sheep
[01/06/2022 13:39]  a sheep: (tame)
[01/06/2022 13:39]  a sheep: a sheep
[01/06/2022 13:39]  a sheep: (tame)
[01/06/2022 13:39]  a sheep: a sheep
[01/06/2022 13:39]  System: WorldMap loaded!
[01/06/2022 13:39]  System: Opening door...
[01/06/2022 13:39]  Len: Len the banker
[01/06/2022 13:39]  Clint Beastwood: [Recruit, NEW!]
[01/06/2022 13:39]  Clint Beastwood: Clint Beastwood
[01/06/2022 13:39]  Ayisha: Ayisha the weaponsmith
[01/06/2022 13:39]  Edyn: [A Ship People, Path]
[01/06/2022 13:39]  Edyn: Edyn
[01/06/2022 13:39]  Colon: Congratulations to Shady Jack for winning the Holiday House Decoration contest! His wonderful house can be visited on Maruk'Tul Isle at 400, 1840!
[01/06/2022 13:39]  Tupac: Legendarily Triggered
[01/06/2022 13:39]  Tupac: [Cn]
[01/06/2022 13:39]  Tupac: Lord Tupac
[01/06/2022 13:39]  Kenelm: Kenelm the tavern keeper
[01/06/2022 13:39]  Wijdan: Wijdan the mapmaker
[01/06/2022 13:39]  Alicia: Alicia the tavern keeper
[01/06/2022 13:39]  Rosaline: Rosaline the waiter
[01/06/2022 13:39]  Meg: Meg the bowyer
[01/06/2022 13:39]  Madelyn: Madelyn the shipwright
[01/06/2022 13:39]  Khal El Dural: Khal El Dural
[01/06/2022 13:39]  Alicia: Alicia the tavern keeper
[01/06/2022 13:39]  Amadis: Amadis the armorer
[01/06/2022 13:39]  Chane: Chane the carpenter
[01/06/2022 13:39]  Bilal: Bilal the blacksmith
[01/06/2022 13:39]  Jake: Jake the barkeep
[01/06/2022 13:39]  Len: Len the banker
[01/06/2022 13:39]  Ayisha: Ayisha the weaponsmith
[01/06/2022 13:39]  Alicia: Alicia the tavern keeper
[01/06/2022 13:39]  of The Lake: of The Lake
[01/06/2022 13:39]  a horse: (tame)
[01/06/2022 13:39]  a horse: a horse
[01/06/2022 13:39]  Rabbi Tuckman: bank
[01/06/2022 13:39]  Rabbi Tuckman: Items: 33/125
[01/06/2022 13:39]  Rabbi Tuckman: Total Weight: 265
[01/06/2022 13:39]  You see: sulfurous ash : 21
[01/06/2022 13:39]  You see: spider's silk : 214
[01/06/2022 13:39]  You see: gold coin : 1703
[01/06/2022 13:39]  System: Your skill in Tactics has increased by 16.0.  It is now 86.0.
[01/06/2022 13:39]  Clint Beastwood: [Recruit, NEW!]
[01/06/2022 13:39]  Clint Beastwood: Clint Beastwood
[01/06/2022 13:39]  Axident Prone: Axident Prone (Young)
[01/06/2022 13:39]  Edyn: [A Ship People, Path]
[01/06/2022 13:39]  Edyn: Edyn
[01/06/2022 13:39]  Wijdan: Wijdan the mapmaker
[01/06/2022 13:39]  Madelyn: Madelyn the shipwright
[01/06/2022 13:39]  Rosaline: Rosaline the waiter
[01/06/2022 13:39]  Kenelm: Kenelm the tavern keeper
[01/06/2022 13:39]  a pack horse: (tame)
[01/06/2022 13:39]  a pack horse: [0/2000 stones]
[01/06/2022 13:39]  a pack horse: a pack horse
[01/06/2022 13:39]  Dees Nuts: Dees Nuts
[01/06/2022 13:39]  Carlton: Carlton the stablemaster
[01/06/2022 13:39]  Jayne: Jayne the innkeeper
[01/06/2022 13:39]  Jordan: Jordan the beggar
[01/06/2022 13:39]  Tai: Tai the fisherman
[01/06/2022 13:39]  im a bard: [Henchman, Syn]
[01/06/2022 13:39]  im a bard: im a bard
[01/06/2022 13:39]  Bly: Bly the fisherman
[01/06/2022 13:39]  Lene: Lene the salvage foreman
[01/06/2022 13:39]  a seagull: a seagull
[01/06/2022 13:39]  Ferana: Ferana (Young)
[01/06/2022 13:39]  Clem Fandango: Clem Fandango
[01/06/2022 13:39]  Sherwin: Sherwin the mage
[01/06/2022 13:39]  Zara: Zara the scribe
[01/06/2022 13:39]  Woody: Woody the alchemist
[01/06/2022 13:39]  Jayne: Jayne the innkeeper
[01/06/2022 13:39]  a pack horse: (tame)
[01/06/2022 13:39]  a pack horse: [0/2000 stones]
[01/06/2022 13:39]  a pack horse: a pack horse
[01/06/2022 13:39]  Tadi: Tadi the thief
[01/06/2022 13:39]  Marti: Marti the healer
[01/06/2022 13:39]  Dusty: Dusty the cook
[01/06/2022 13:39]  Phinneas: (tame)
[01/06/2022 13:39]  Phinneas: [11/2000 stones]
[01/06/2022 13:39]  Phinneas: Phinneas
[01/06/2022 13:39]  Tethra: Tethra (Young)
[01/06/2022 13:39]  Drabadanchik: Drabadanchik (Young)
[01/06/2022 13:39]  Tadi: Tadi the thief
[01/06/2022 13:39]  Talbas: Talbas (Young)
[01/06/2022 13:39]  Jessee: Jessee the guard
[01/06/2022 13:39]  DishWasher: Legendary Alchemist
[01/06/2022 13:39]  DishWasher: [xBu]
[01/06/2022 13:39]  DishWasher: DishWasher
[01/06/2022 13:40]  Animus Vox: Animus Vox (Young)
[01/06/2022 13:40]  F Lloyd Wright: F Lloyd Wright (Young)
[01/06/2022 13:40]  a hind: a hind
[01/06/2022 13:40]  System: You have left the protection of the town guards.
[01/06/2022 13:40]  Rabbi Tuckman: Your mount finds a quiet place to rest safely.
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  You see: a mongbat corpse
[01/06/2022 13:40]  Marvolo: Marvolo (Young)
[01/06/2022 13:40]  a harpy: a harpy
[01/06/2022 13:40]  Amish Hammer: [The Farmer, L%C]
[01/06/2022 13:40]  Amish Hammer: Amish Hammer
[01/06/2022 13:40]  Robert Lee: Domesticator
[01/06/2022 13:40]  Robert Lee: Robert Lee
