[01/17/2023 18:13]  System: WorldMap loading...
[01/17/2023 18:14]  System: Loading WorldMap markers..
[01/17/2023 18:14]  System: ..Banks_and_Healers.xml (20)
[01/17/2023 18:14]  System: ..Dungeons.xml (12)
[01/17/2023 18:14]  System: ..Dungeon_Gates.xml (325)
[01/17/2023 18:14]  System: ..Healer_Caravans.xml (32)
[01/17/2023 18:14]  System: ..Moongates.xml (9)
[01/17/2023 18:14]  System: ..POI.xml (176)
[01/17/2023 18:14]  System: ..PvP_Locations.xml (71)
[01/17/2023 18:14]  System: ..Shrines.xml (9)
[01/17/2023 18:14]  System: ..Subterranean.xml (6)
[01/17/2023 18:14]  System: ..Townships.xml (9)
[01/17/2023 18:14]  System: WorldMap markers loaded (669)
[01/17/2023 18:14]  System: Welcome Empress Nympho!
[01/17/2023 18:14]  Razor: [- (s)]
[01/17/2023 18:14]  Razor: [+Hidden/Stealthing (0s)]
[01/17/2023 18:14]  Rane: Rane the dockmaster
[01/17/2023 18:14]  Astharia: [Recruit, -_-]
[01/17/2023 18:14]  Astharia: Astharia
[01/17/2023 18:14]  a magpie: a magpie
[01/17/2023 18:14]  a raven: a raven
[01/17/2023 18:14]  System: WorldMap loaded!
[01/17/2023 18:14]  Razor: [-Hidden/Stealthing (s)]
[01/17/2023 18:14]  an eagle: an eagle
[01/17/2023 18:14]  a brown bear: a brown bear
[01/17/2023 18:14]  System: Opening door...
[01/17/2023 18:14]  System: As the owner, you refresh the house and its contents.
[01/17/2023 18:14]  Astharia: [Recruit, -_-]
[01/17/2023 18:14]  Astharia: Astharia
[01/17/2023 18:14]  Rane: Rane the dockmaster
