1113,0,-1,4,-1,2,2
1114,-1,2,-1,6,2,2
1115,0,-1,4,-1,2,2
1116,-1,2,-1,6,2,2
2602,0,2,4,6,-4,-4
2603,0,2,4,6,-8,-8
2860,-1,2,-1,6,2,2
2861,0,-1,4,-1,2,2
2862,4,4,4,4,0,0
2863,2,2,2,2,6,6
2864,6,6,6,6,-8,8
2865,0,0,0,0,0,4
2866,4,4,4,4,0,0
2867,2,2,2,2,0,0
2894,2,2,2,2,0,0
2895,4,4,4,4,0,0
2896,0,0,0,0,0,0
2897,6,6,6,6,0,0
2898,2,2,2,2,0,0
2899,4,4,4,4,0,0
2900,0,0,0,0,0,0
2901,6,6,6,6,0,0
2902,2,2,2,2,4,4
2903,4,4,4,4,4,4
2904,6,6,6,6,0,8
2905,0,0,0,0,0,8
2906,2,2,2,2,8,8
2907,4,4,4,4,8,8
2908,0,0,0,0,0,8
2909,6,6,6,6,0,8
2910,0,2,4,6,-8,-8
2911,-1,2,-1,6,3,14
2912,-1,2,-1,6,3,14
2913,-1,2,-1,6,3,14
2914,-1,2,-1,6,3,10
2915,-1,2,-1,6,3,10
2916,-1,2,-1,6,3,10
2917,0,-1,4,-1,3,10
2918,0,-1,4,-1,3,10
2919,0,-1,4,-1,3,10
2920,0,-1,4,-1,3,10
2921,0,-1,4,-1,3,10
2922,0,-1,4,-1,3,10
2961,4,4,4,4,6,6
2962,4,4,4,4,6,6
2963,2,2,2,2,6,6
2964,2,2,2,2,6,6
3315,-1,2,-1,6,2,8
3316,-1,2,-1,6,2,8
3318,0,-1,4,-1,2,8
3319,0,-1,4,-1,2,8
3664,4,4,4,4,4,4
3665,4,4,4,4,4,4
3666,2,2,2,2,0,0
3667,2,2,2,2,0,0
4169,-1,2,-1,6,2,2
4170,0,-1,4,-1,2,2
4604,0,2,4,6,2,7
4615,0,-1,4,-1,3,10
4616,0,-1,4,-1,3,10
4617,0,-1,4,-1,3,10
4618,0,-1,4,-1,3,10
4619,0,-1,4,-1,3,10
4620,0,-1,4,-1,3,10
4632,4,4,4,4,4,4
4633,2,2,2,2,4,4
4634,0,0,0,0,0,8
4635,6,6,6,6,0,8
5415,2,2,2,2,0,0
6001,0,2,4,6,0,0
6006,0,2,4,6,0,0
6009,0,2,4,6,0,0
7623,-1,2,-1,6,3,10
7624,-1,2,-1,6,3,10
7625,-1,2,-1,6,3,10
7626,0,-1,4,-1,3,10
7627,0,-1,4,-1,3,10
7628,0,-1,4,-1,3,10
7629,-1,2,-1,6,3,10
7630,-1,2,-1,6,3,10
7631,-1,2,-1,6,3,10
7632,0,-1,4,-1,3,10
7633,0,-1,4,-1,3,10
7634,-1,2,-1,6,3,10
10840,4,4,4,4,0,0
10841,2,2,2,2,0,0
10842,0,2,4,6,0,0
10843,0,2,4,6,10,10
10879,0,2,4,6,0,0
10880,0,2,4,6,0,0
11743,0,2,4,6,2,2
11744,0,2,4,6,2,2
11747,2,2,2,2,4,4
11748,4,4,4,4,4,4
11749,6,6,6,6,4,4
11750,0,0,0,0,4,4
11755,0,0,0,0,4,4
11756,4,4,4,4,4,4
11757,2,2,2,2,4,4
11758,6,6,6,6,4,4
11765,0,2,4,6,4,4
11766,0,2,4,6,4,4
12424,0,2,4,6,4,4
12425,0,2,4,6,4,4
12426,0,2,4,6,4,4
12427,0,2,4,6,4,4
12698,-1,2,-1,6,2,2
12699,0,-1,4,-1,2,2
13805,0,2,4,6,0,0
13806,0,2,4,6,0,0
15871,0,-1,4,-1,2,2
15872,-1,2,-1,6,2,2
16419,4,4,4,4,4,4
16420,2,2,2,2,0,0
16423,4,4,4,4,4,4
16424,4,4,4,4,4,4
16425,2,2,2,2,0,0
16426,2,2,2,2,0,0
19420,4,4,4,4,4,4
19483,4,4,4,4,4,4
19486,2,2,2,2,6,6
19584,4,4,4,4,4,4
19585,2,2,2,2,0,0
19586,4,4,4,4,4,4
19587,4,4,4,4,4,4
19588,2,2,2,2,0,0
19589,2,2,2,2,0,0
19590,4,4,4,4,4,4
19591,4,4,4,4,4,4
19592,2,2,2,2,0,0
19593,2,2,2,2,0,0
19594,2,2,2,2,0,0
